Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HouseAge
1,1360.0,5,4,3,1970,0,0,0,149919.0,55
2,4272.0,5,4,3,1958,0,0,0,424998.0,67
3,3592.0,2,2,3,1938,0,2,0,266746.0,87
4,966.0,4,2,2,1902,2,1,1,244020.0,123
5,4926.0,1,4,2,1975,0,1,1,636056.0,50
6,3944.0,1,2,1,1906,3,3,0,93262.0,119
7,3671.0,1,1,2,1948,1,3,1,448722.0,77
8,3419.0,2,4,1,1925,2,2,1,594893.0,100
9,630.0,2,2,1,1932,1,3,1,652878.0,93
10,2185.0,3,3,1,2000,0,3,0,340375.0,25
11,1269.0,1,4,2,1947,2,3,1,653685.0,78
12,2891.0,4,4,3,1978,3,0,1,127123.0,47
13,2933.0,4,3,2,1901,0,3,0,849947.0,124
14,1684.0,1,1,1,2004,1,2,0,399355.0,21
15,3885.0,1,3,1,1970,3,1,1,481838.0,55
16,4617.0,1,4,2,1931,0,3,0,853032.0,94
17,3404.0,2,1,1,1903,3,1,1,208964.0,122
18,974.0,2,2,1,1919,0,3,1,905742.0,106
19,1582.0,2,2,2,2013,2,2,0,989305.0,12
20,3058.0,5,2,2,2016,0,0,0,218767.0,9
21,2547.0,4,4,2,1935,2,2,1,996357.0,90
22,3247.0,4,3,1,1931,0,0,0,709789.0,94
23,1475.0,3,1,1,1927,0,3,0,709966.0,98
24,2306.0,2,2,3,1976,1,3,1,447694.0,49
25,689.0,5,1,3,1900,3,0,1,688668.0,125
26,3234.0,5,4,2,1959,3,2,1,527032.0,66
27,3505.0,4,2,3,1955,3,2,1,745494.0,70
28,2399.0,2,4,1,1934,0,0,1,513179.0,91
29,1767.0,3,3,3,2011,0,3,1,948212.0,14
30,2028.0,2,4,1,1929,0,0,0,206547.0,96
31,3702.0,1,4,2,1953,2,3,0,902609.0,72
32,4056.0,2,3,2,1935,2,0,1,727090.0,90
33,4390.0,1,1,1,2020,1,3,0,202185.0,5
34,1146.0,1,3,3,1954,0,0,0,725371.0,71
35,3388.0,3,3,2,1988,3,1,1,105746.0,37
36,2935.0,4,4,2,1979,3,3,0,959507.0,46
37,1100.0,2,1,3,1957,1,2,0,748213.0,68
38,2863.0,1,2,3,1982,3,0,1,921627.0,43
39,2561.0,2,3,1,1964,1,2,0,873250.0,61
40,741.0,4,1,3,1968,0,0,0,218393.0,57
41,2541.0,4,3,3,1950,3,2,1,333453.0,75
42,3324.0,5,3,3,1921,0,2,0,986192.0,104
43,3112.0,4,3,1,1987,2,0,0,340320.0,38
44,1863.0,3,3,1,2006,3,0,0,643167.0,19
45,1978.0,1,4,2,2008,2,2,1,641880.0,17
46,3056.0,5,1,1,2015,3,2,1,396872.0,10
47,1275.0,3,1,2,2000,0,2,0,270084.0,25
48,4514.0,2,1,3,1952,1,3,0,976920.0,73
49,534.0,1,3,2,1999,0,3,1,771782.0,26
50,3652.0,4,4,2,1935,0,1,1,845016.0,90
51,2455.0,1,3,3,1967,0,3,0,698843.0,58
52,2085.0,2,3,2,1935,3,3,1,405446.0,90
53,4443.0,5,1,1,1951,1,0,0,958840.0,74
54,3573.0,5,3,1,1952,2,1,0,593118.0,73
55,1521.0,5,2,1,1981,0,1,1,266897.0,44
56,3961.0,4,3,1,1949,3,3,1,826522.0,76
57,3113.0,3,2,2,1979,2,0,0,913498.0,46
58,4343.0,3,3,2,1940,0,0,0,840023.0,85
59,2000.0,1,4,3,1917,2,1,1,143878.0,108
60,661.0,4,4,2,1921,0,0,0,175407.0,104
61,4797.0,5,1,2,1965,2,2,1,691157.0,60
62,2481.0,5,3,2,1920,2,3,1,307716.0,105
63,1495.0,2,2,3,1999,1,2,1,857827.0,26
64,3842.0,2,2,1,1943,1,1,1,66738.0,82
65,4298.0,5,3,2,2002,0,1,1,183703.0,23
66,1775.0,5,2,3,1946,3,0,0,723265.0,79
67,1516.0,4,4,3,1938,1,0,1,593344.0,87
68,837.0,3,2,3,1928,2,1,1,815034.0,97
69,1378.0,2,1,1,1953,1,1,1,560241.0,72
70,1576.0,3,4,2,1989,1,2,1,433800.0,36
71,4493.0,4,4,3,1984,0,2,1,689604.0,41
72,879.0,5,4,1,1916,1,0,1,740807.0,109
73,992.0,3,3,3,1979,1,2,1,628706.0,46
74,2562.0,5,3,3,1959,2,0,0,873622.0,66
75,4384.0,5,4,3,1930,1,0,0,76014.0,95
76,564.0,1,3,3,2014,2,3,0,778359.0,11
77,3068.0,3,2,3,1972,1,0,0,813277.0,53
78,2527.0,3,3,1,1994,1,2,1,231350.0,31
79,3195.0,5,3,2,1977,3,1,0,961995.0,48
80,1995.0,4,4,2,1948,1,1,1,838212.0,77
81,891.0,1,1,2,2000,2,2,0,534859.0,25
82,4974.0,5,1,2,1901,2,1,0,764618.0,124
83,4061.0,2,1,1,2015,0,0,1,540339.0,10
84,2778.0,2,2,1,1947,0,1,1,92192.0,78
85,3599.0,1,3,1,2009,3,2,0,941307.0,16
86,700.0,4,1,3,1913,2,1,0,411273.0,112
87,3604.0,5,4,3,1958,2,0,0,93923.0,67
88,2954.0,3,1,3,1996,2,0,0,663484.0,29
89,4145.0,1,1,2,1998,3,2,1,576683.0,27
90,1304.0,4,3,3,1957,2,2,0,414593.0,68
91,3231.0,3,3,2,2002,0,2,0,433891.0,23
92,3273.0,2,3,3,1957,3,3,0,802744.0,68
93,2070.0,2,2,2,2010,0,3,0,458995.0,15
94,3190.0,3,2,3,1950,0,0,0,645316.0,75
95,4340.0,1,1,3,1983,3,3,1,997226.0,42
96,1528.0,2,3,1,1901,1,3,1,450327.0,124
97,1002.0,5,1,3,2014,1,1,1,816751.0,11
98,4993.0,3,4,3,1940,0,3,1,715344.0,85
99,1370.0,3,4,1,1982,1,1,1,929608.0,43
100,4988.0,2,3,2,2022,2,2,0,777688.0,3
101,706.0,1,3,1,2000,3,1,1,305315.0,25
102,1984.0,5,4,1,1981,0,1,1,339068.0,44
103,1363.0,1,3,2,1915,2,2,0,495919.0,110
104,3290.0,4,2,3,1903,1,2,1,344721.0,122
105,1063.0,4,2,2,1911,2,0,1,188783.0,114
106,4691.0,2,3,3,1928,1,0,1,659836.0,97
107,2257.0,2,4,3,1906,0,0,1,307288.0,119
108,2178.0,2,1,2,1913,2,0,0,543085.0,112
109,3742.0,4,3,1,2018,3,1,0,545187.0,7
110,1559.0,1,3,2,1911,0,1,1,699381.0,114
111,2222.0,1,1,3,1998,2,0,0,285835.0,27
112,3814.0,2,3,2,1904,2,3,1,971600.0,121
113,3657.0,5,1,2,1980,1,0,0,902987.0,45
114,3125.0,1,4,3,2021,0,3,0,401992.0,4
115,3229.0,4,2,1,2005,0,2,0,256084.0,20
116,2097.0,3,4,2,1931,0,1,0,844686.0,94
117,3560.0,3,2,3,1973,0,1,0,437554.0,52
118,3193.0,3,1,3,1942,1,3,0,803315.0,83
119,4127.0,5,2,2,1980,3,0,0,520336.0,45
120,1863.0,2,4,1,1968,0,1,0,973469.0,57
121,2481.0,4,2,2,1944,1,3,0,258072.0,81
122,2163.0,5,1,1,2005,3,2,0,298029.0,20
123,2029.0,4,2,1,1908,3,2,0,259047.0,117
124,2538.0,4,3,1,1948,1,1,1,415169.0,77
125,3802.0,2,4,1,1932,0,0,0,180509.0,93
126,2737.0,3,3,2,1999,3,3,1,812072.0,26
127,1806.0,2,1,3,1999,0,1,0,345107.0,26
128,4529.0,5,2,3,1917,0,2,1,577561.0,108
129,3175.0,5,3,3,1908,2,0,1,589618.0,117
130,1782.0,5,3,3,1961,0,3,1,202566.0,64
131,1209.0,2,2,3,1956,2,1,0,650710.0,69
132,4913.0,4,2,3,1928,3,3,0,958521.0,97
133,4248.0,4,4,2,2013,1,0,0,53212.0,12
134,1163.0,1,3,1,1977,2,0,0,282131.0,48
135,2498.0,5,3,3,1924,1,2,1,526657.0,101
136,3945.0,4,1,2,1914,3,0,0,661882.0,111
137,4243.0,1,4,3,1905,0,1,0,182152.0,120
138,1995.0,4,1,3,2019,3,3,0,344819.0,6
139,3804.0,5,3,1,1941,1,0,0,72007.0,84
140,4263.0,3,1,1,1928,3,0,0,688093.0,97
141,2353.0,5,3,1,1978,0,1,0,394785.0,47
142,1791.0,2,3,3,1992,3,3,0,670103.0,33
143,4081.0,4,1,3,1903,0,3,0,883247.0,122
144,3957.0,4,1,3,1981,2,2,1,919914.0,44
145,2136.0,2,2,1,2013,1,2,1,837071.0,12
146,4196.0,2,2,2,1956,0,3,0,375737.0,69
147,3499.0,3,2,3,1948,0,1,0,562164.0,77
148,3652.0,4,3,3,1943,3,1,0,128038.0,82
149,1198.0,4,1,3,2002,2,2,0,406043.0,23
150,2660.0,3,4,2,1979,0,0,1,840168.0,46
151,4597.0,1,3,3,1974,2,1,1,827794.0,51
152,1354.0,3,4,2,1913,2,0,0,66473.0,112
153,3974.0,5,1,3,1902,3,1,1,703059.0,123
154,2207.0,4,3,2,2014,0,3,1,175801.0,11
155,3277.0,2,4,3,2013,3,2,0,944030.0,12
156,2233.0,5,4,1,1961,1,0,0,660911.0,64
157,4010.0,4,2,1,2005,1,0,0,558252.0,20
158,702.0,3,2,1,1963,0,3,1,275097.0,62
159,3755.0,5,2,1,2001,2,1,1,348964.0,24
160,4718.0,4,3,3,1944,0,0,0,265933.0,81
161,4996.0,1,1,1,2005,0,1,0,369733.0,20
162,1266.0,1,1,2,1981,1,3,1,771167.0,44
163,4889.0,2,2,1,1957,1,2,1,330558.0,68
164,2827.0,4,2,1,1919,2,0,0,439522.0,106
165,3431.0,1,2,1,1957,2,1,1,74220.0,68
166,697.0,3,4,3,2011,0,0,0,634819.0,14
167,2430.0,4,2,1,1988,3,1,0,422146.0,37
168,4082.0,3,4,2,1956,0,1,1,557409.0,69
169,1108.0,3,1,1,2001,2,1,1,747785.0,24
170,3772.0,1,3,1,1976,3,3,1,59387.0,49
171,1647.0,4,3,1,1967,1,2,0,295752.0,58
172,4782.0,5,3,2,2018,2,0,0,651103.0,7
173,3897.0,1,3,1,1977,2,2,0,601872.0,48
174,3011.0,1,4,2,1996,3,1,0,619071.0,29
175,2294.0,4,4,2,1991,2,1,0,745169.0,34
176,1159.0,4,2,1,1951,2,2,0,759687.0,74
177,3311.0,3,4,2,1936,2,2,1,698782.0,89
178,1869.0,4,2,3,1907,2,0,0,690102.0,118
179,2486.0,3,2,1,1943,2,1,0,300139.0,82
180,646.0,1,3,1,1997,2,2,0,967184.0,28
181,3719.0,2,4,2,2007,2,3,0,550228.0,18
182,3411.0,5,4,2,1904,2,1,1,716217.0,121
183,2234.0,1,2,1,2017,1,1,0,747621.0,8
184,2343.0,4,2,3,1968,2,0,1,910020.0,57
185,988.0,5,1,2,1930,1,3,1,984499.0,95
186,3476.0,2,1,2,1944,1,0,0,296509.0,81
187,2459.0,2,2,3,1908,0,3,0,63580.0,117
188,2885.0,3,1,3,2005,0,0,1,592528.0,20
189,3419.0,5,1,1,1931,1,3,1,828639.0,94
190,2302.0,3,2,3,1932,1,3,0,395590.0,93
191,4561.0,1,2,1,1966,2,3,1,518968.0,59
192,3869.0,5,4,3,1929,0,2,0,940965.0,96
193,762.0,1,2,2,2013,3,1,0,828559.0,12
194,1123.0,3,2,1,1975,0,3,1,533663.0,50
195,1516.0,5,3,1,1928,1,2,0,478082.0,97
196,4143.0,3,4,1,1902,1,2,0,655262.0,123
197,2549.0,5,4,3,1989,2,0,0,647689.0,36
198,4223.0,3,4,2,1956,2,1,1,263165.0,69
199,3608.0,2,3,1,1929,0,1,1,455427.0,96
200,4590.0,3,2,1,1908,2,0,1,502201.0,117
201,2556.0,2,4,1,1925,3,1,0,214340.0,100
202,3670.0,3,4,1,1901,3,0,1,840078.0,124
203,2182.0,5,1,2,1961,2,2,1,760731.0,64
204,2755.0,5,4,3,1902,3,2,1,822411.0,123
205,1654.0,5,2,2,1945,3,3,0,354960.0,80
206,4999.0,4,2,1,1967,0,0,0,139460.0,58
207,3691.0,1,1,2,1924,3,2,1,356256.0,101
208,2196.0,5,4,1,1950,1,2,1,101048.0,75
209,4491.0,2,4,3,1912,1,0,1,780806.0,113
210,2148.0,5,4,3,2002,0,2,0,182850.0,23
211,1945.0,4,3,3,1943,2,1,1,882184.0,82
212,4699.0,2,4,1,1934,0,2,0,528193.0,91
213,4423.0,4,2,2,1954,2,0,0,907158.0,71
214,753.0,2,2,3,1986,2,1,0,786200.0,39
215,3683.0,3,3,1,1908,2,1,1,994793.0,117
216,3057.0,1,3,1,1901,2,2,1,356932.0,124
217,598.0,1,4,2,1960,2,3,0,316891.0,65
218,2700.0,4,1,3,2017,0,1,0,574333.0,8
219,3461.0,1,3,1,1940,2,0,0,582046.0,85
220,4933.0,4,3,2,1943,3,3,0,829685.0,82
221,4277.0,4,4,3,1963,3,3,1,961508.0,62
222,3369.0,4,4,2,1930,2,1,1,728797.0,95
223,3734.0,1,3,2,2007,3,2,0,724945.0,18
224,4291.0,4,1,1,1946,1,3,0,190926.0,79
225,1456.0,1,3,1,1901,0,2,0,233148.0,124
226,4567.0,4,4,1,1995,0,1,1,893382.0,30
227,660.0,5,4,2,1981,2,0,0,722709.0,44
228,4993.0,4,3,1,1976,2,3,1,801588.0,49
